Pregunta,Respuesta
Hola,Hola! En que puedo ayudarte?
¿Cómo realizo una compra?,"Seleccioná los productos que quieras, agregalos al carrito y hacé clic en “Finalizar compra”. Después seguí los pasos del sistema para el pago y la dirección."
¿Cómo creo una cuenta?,"Entrá en “Crear cuenta”, completá tus datos y listo. Solo necesitás un mail válido."
No me llegó el mail de confirmación de cuenta.,"Si aún no llegó el mail de confirmación, debés ir a la opción que aparece debajo de ""Ingresar código"" y seleccionar ""No me legó el código""."
¿Cuál es el mínimo de compra?,"No contamos con mínimo de compra, podés comprar la cantidad que desees siempre y cuando haya stock disponible."
¿Los precios incluyen IVA?,"Sí, todos los precios publicados ya tienen el IVA incluido."
¿Los productos tienen cambio?,"Sí, podés cambiar el producto siempre que esté en perfecto estado y en su empaque original."
¿Puedo cambiar un producto si ya hice el pedido?,"No se pueden modificar pedidos una vez confirmados. Si necesitás cambiar algo, cancelalo y hacé uno nuevo."
¿Cuándo vuelve a ingresar el stock?,"Si querés saber cuando ingresa el sotck de un producto particular, entrá al producto y seleccioná la opción de ""Avisarme cuando haya stock"" donde te llegará un mail cada vez que vuelva a ingresar el producto."
No me deja agregar el mail.,"Si ocurre un error con el ingreso de mail, problamente no te hayas creado una cuenta o hayas puesto mal algún dato. Por favor, verificá que tengas una cuenta creada con un mail habilitado."
¿Cómo elimino el carrito?,"Podés vaciar el carrito desde el ícono en la parte superior derecha. Hacé clic y seleccioná la opción “Eliminar productos” o “Vaciar carrito”."
¿Cómo cancelo una compra?,"Si el pedido aún no fue despachado, podés cancelarlo desde “Mis compras” seleccionando la opción “Cancelar compra”."
¿Que talles trabajan?,"Contamos con talles desde el XS hasta el XXXL."
¿Cómo elijo el talle de la ropa?,"En cada producto vas a encontrar una guía de talles al final del carrusel de fotos. Te recomendamos comparar tus medidas con la tabla."
¿Cómo se puede pagar?,"Aceptamos tarjetas de crédito y débito Visa y Mastercard. También podés pagar con transferencia bancaria o mediante MercadoPago."
¿Puedo pagar en cuotas?,"Sí, si tu tarjeta lo permite, podés pagar en cuotas. El detalle aparece al momento de elegir el medio de pago."
¿Qué promociones tienen?,"Nuestras promociones activas están en la sección “Promociones” y también en los banners de la página principal. Se actualizan todas las semanas."
¿Hacen envíos?, "Sí, realizamos envíos a todo el país con Correo Argentino."
¿Hacen envíos al interior del país?,"Sí, enviamos a todo el país. Los tiempos pueden variar según la zona."
¿Cómo sigo mi envío?,"Desde tu cuenta, entrá a “Mis compras” para ver el estado del envío. Además, te enviamos por mail el código de seguimiento del correo."
¿Qué hago si no estoy en casa cuando llega el pedido?,"El correo vuelve a pasar una vez más o te deja una notificación para retirarlo en la sucursal más cercana."
¿Cuánto tarda mi envío?,"El tiempo estimado de entrega es entre 7 y 40 días, según tu ubicación y el método de envío seleccionado."
¿El envío es gratis?,"Ofrecemos envío gratis en compras mayores a $250.000. En caso contrario, el costo depende de tu ubicación."
¿Por qué no llega mi envío?,"Puede haber demoras por logística externa. Revisá el seguimiento desde “Mis compras” o con el código que te enviamos por mail."
No me llegó el código de seguimiento,"Si no lo recibiste, escribinos por el chat o al mail de atención al cliente y te lo volvemos a enviar."
El pedido no es lo que pedí,"Si el producto recibido no coincide con tu pedido, podés iniciar un reclamo desde “Mis compras” y solicitar cambio o reembolso."
¿Cómo hago una devolución?,"Ingresá a “Mis compras”, elegí el pedido y hacé clic en “Iniciar devolución”. Tenés hasta 15 días desde la recepción del producto."
¿Me devuelven el dinero si hago la devolución?,"Sí, si tu devolución fue aprobada, se hace el reembolso dentro de los 10 días hábiles."
¿Tienen tienda física?,"No, por el momento solo vendemos online. Todos los productos se envían por correo a domicilio."
¿Puedo retirar el envío en la tienda?,"Actualmente no contamos con retiro en tienda. Todos los envíos se hacen a través de correo."
¿Dónde se encuentra la tienda?,"Nuestra tienda es 100% online, sin local físico. Atendemos a todo el país desde nuestro centro logístico."
¿Cómo elimino una cuenta?,"Para eliminar tu cuenta, escribinos desde el mail asociado y gestionamos la baja en un plazo de hasta 72 hs hábiles."
¿Tienen redes sociales?,"Sí, nos encontrás en Instagram y TikTok como @tiendaderopaonline Seguinos para novedades y descuentos."
¿Qué productos tienen?,Vendemos ropa y accesorios para mujer.
¿Cómo me contacto con un asesor?,"Podés escribirnos por WhatsApp, chat en vivo o completar el formulario de contacto. Respondemos de lunes a viernes, de 9 a 18 hs."
